EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,JobLevel,Education,EducationField,DistanceFromHome,MonthlyIncome,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,NumCompaniesWorked,TrainingTimesLastYear,OverTime,BusinessTravel,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,JobInvolvement,RelationshipSatisfaction,PerformanceRating,Attrition
44,36,Male,Divorced,Human Resources,Recruiter,3,3,Technical Degree,1,72116,14,1,16,11,9,3,2,1,No,Travel_Rarely,3,1,1,3,4,4,Yes
45,22,Female,Single,Research & Development,Research Scientist,1,3,Other,3,55250,21,1,4,2,1,0,1,3,Yes,Travel_Rarely,4,1,3,2,4,3,Yes
46,31,Male,Divorced,Research & Development,Research Scientist,1,2,Medical,12,52668,18,2,3,1,0,0,2,2,No,Travel_Rarely,1,4,1,3,4,3,No
47,51,Male,Married,Research & Development,Manufacturing Director,5,3,Marketing,1,124479,13,0,26,20,10,0,0,3,No,Travel_Rarely,3,3,3,4,4,3,No
48,35,Female,Married,Research & Development,Laboratory Technician,1,4,Other,35,52984,16,1,3,0,0,0,3,3,No,Travel_Rarely,3,4,4,2,3,3,No
49,20,Male,Married,Sales,Sales Representative,1,2,Human Resources,4,41448,16,0,2,0,0,0,2,2,No,Travel_Rarely,4,2,3,3,2,3,No
50,41,Male,Married,Research & Development,R&D Manager,3,3,Marketing,10,94157,15,2,8,5,3,4,2,2,Yes,Travel_Rarely,2,1,2,3,4,3,Yes
51,22,Male,Married,IT,IT Manager,1,3,Other,2,48557,16,1,3,2,0,2,2,2,No,Travel_Rarely,4,3,4,3,4,3,No
52,41,Female,Married,Research & Development,Research Scientist,5,3,Other,8,133028,15,1,21,21,7,8,2,4,No,Travel_Rarely,4,3,3,3,2,4,No
53,48,Male,Married,Sales,Sales Manager,1,3,Life Sciences,2,45145,20,1,4,2,0,0,2,1,No,Travel_Rarely,4,3,3,3,4,4,No
54,47,Male,Divorced,Human Resources,Recruiter,1,1,Life Sciences,8,34512,15,3,4,2,0,1,2,2,Yes,Travel_Rarely,3,3,3,3,3,4,No
55,30,Male,Single,Finance,Finance Manager,4,5,Technical Degree,1,87217,16,1,12,9,5,1,2,4,No,Travel_Frequently,3,3,3,3,2,3,No
56,38,Male,Married,Research & Development,Research Scientist,2,2,Marketing,16,60301,12,1,7,3,2,0,2,3,Yes,Travel_Rarely,2,3,2,1,2,3,No
57,42,Female,Single,Finance,Accountant,1,3,Technical Degree,1,51583,14,1,5,2,0,0,5,2,No,Travel_Rarely,1,4,2,4,4,3,No
58,47,Male,Married,IT,Data Analyst,3,3,Technical Degree,3,92542,17,0,10,6,5,5,3,4,No,Non-Travel,2,4,4,3,3,3,No
59,22,Male,Married,Sales,Sales Representative,2,4,Other,4,67884,11,1,4,2,1,2,1,4,No,Travel_Frequently,4,2,4,3,3,3,No
60,42,Male,Married,Sales,Sales Representative,3,3,Other,1,81311,15,2,14,12,10,0,3,3,No,Travel_Rarely,4,1,3,2,1,3,Yes
61,34,Male,Divorced,Research & Development,Manufacturing Director,2,1,Life Sciences,4,59111,20,1,6,1,0,1,4,4,Yes,Travel_Rarely,4,3,3,2,2,3,No
62,30,Male,Single,Sales,Sales Executive,1,4,Medical,1,38623,11,2,9,5,2,3,5,1,Yes,Travel_Rarely,1,1,3,3,3,3,No
63,40,Female,Single,Sales,Sales Executive,5,2,Medical,1,101560,15,1,13,12,7,2,2,0,No,Non-Travel,2,4,3,2,4,4,No
64,23,Male,Married,Research & Development,R&D Manager,1,4,Technical Degree,3,41151,11,1,5,2,1,2,2,3,Yes,Travel_Rarely,1,4,2,3,3,3,No
65,36,Male,Married,Finance,Finance Manager,1,4,Technical Degree,1,49079,15,1,0,0,0,0,3,6,No,Non-Travel,3,3,2,4,4,3,No
66,40,Female,Married,Sales,Sales Representative,1,2,Other,11,45773,17,0,2,1,0,1,1,3,No,Travel_Rarely,1,4,3,2,3,3,No
67,34,Male,Single,IT,Data Analyst,1,4,Life Sciences,2,61040,11,0,1,1,0,1,6,4,No,Travel_Frequently,4,3,3,3,3,3,Yes
68,41,Male,Married,Research & Development,R&D Manager,2,3,Human Resources,1,74908,16,0,1,1,0,1,2,3,No,Travel_Rarely,3,4,2,3,1,3,No
69,44,Male,Married,Human Resources,HR Manager,2,2,Life Sciences,4,61530,17,1,2,0,0,0,2,2,No,Travel_Frequently,4,4,3,3,1,3,No
70,51,Female,Divorced,Sales,Sales Executive,1,4,Marketing,2,42097,20,0,7,3,2,3,1,1,No,Non-Travel,4,4,3,4,4,3,No
71,27,Male,Divorced,Research & Development,Research Scientist,3,2,Other,4,71149,11,1,9,7,3,0,1,5,Yes,Travel_Rarely,4,1,3,2,4,3,No
72,39,Male,Married,Sales,Sales Executive,4,2,Life Sciences,4,77742,14,1,19,19,13,0,1,1,No,Travel_Rarely,2,2,4,3,1,3,No
73,39,Male,Single,Research & Development,Research Scientist,3,4,Marketing,8,82475,11,2,7,4,1,1,5,2,No,Travel_Rarely,1,4,2,2,2,3,Yes
74,24,Male,Married,Sales,Sales Representative,1,3,Life Sciences,4,37082,11,1,3,0,0,0,2,2,No,Travel_Rarely,3,4,2,3,2,3,No
75,32,Male,Divorced,Sales,Sales Representative,4,4,Marketing,3,88409,13,0,8,8,7,4,4,2,No,Travel_Rarely,4,3,4,3,2,3,No
76,40,Male,Married,Sales,Sales Executive,1,5,Medical,13,38254,14,1,5,3,1,1,5,3,No,Travel_Rarely,4,4,2,2,3,3,No
77,40,Female,Single,Research & Development,R&D Manager,1,1,Marketing,9,45906,11,1,5,3,1,0,1,3,Yes,Travel_Frequently,4,4,4,3,4,3,No
78,33,Female,Married,IT,IT Manager,2,1,Other,20,82706,11,1,3,1,0,0,1,1,Yes,Travel_Frequently,4,1,4,2,4,3,No
79,42,Male,Single,Sales,Sales Executive,1,4,Medical,8,48020,11,1,10,4,3,0,1,2,Yes,Travel_Rarely,2,3,2,3,4,3,No
80,25,Male,Single,Sales,Sales Executive,2,2,Human Resources,7,63808,14,0,7,4,3,0,3,0,No,Travel_Frequently,4,2,2,4,2,3,No
81,40,Male,Single,Research & Development,Manufacturing Director,1,3,Other,15,48575,11,2,0,0,0,0,1,3,Yes,Travel_Frequently,3,2,3,2,4,3,No
82,32,Male,Married,Sales,Sales Manager,2,3,Human Resources,10,62511,12,1,11,5,2,3,1,4,Yes,Travel_Rarely,4,1,3,1,4,3,No
83,33,Female,Married,IT,IT Manager,1,4,Medical,17,49720,12,1,5,5,3,0,1,3,No,Travel_Rarely,2,3,3,3,4,3,No
84,47,Female,Divorced,Finance,Finance Manager,1,4,Medical,4,49224,11,1,5,0,0,0,2,2,No,Non-Travel,3,3,3,4,1,3,Yes
85,47,Male,Single,Finance,Finance Manager,3,3,Life Sciences,1,85756,19,0,17,10,6,4,1,0,No,Non-Travel,4,1,3,3,4,3,No
86,36,Male,Married,Research & Development,Laboratory Technician,3,3,Other,7,80483,14,0,15,9,8,0,1,2,No,Travel_Frequently,3,3,3,3,3,3,Yes
87,41,Male,Single,Research & Development,R&D Manager,3,3,Human Resources,4,94501,13,3,5,5,3,1,4,2,No,Travel_Rarely,3,3,3,3,1,3,No
88,32,Male,Divorced,Sales,Sales Executive,1,5,Medical,31,43379,21,1,4,3,2,1,4,2,No,Travel_Rarely,3,3,3,3,4,4,Yes
89,34,Male,Married,Research & Development,Research Scientist,2,5,Medical,5,69696,18,0,7,6,4,2,0,1,Yes,Travel_Frequently,4,2,3,3,4,3,No
90,39,Female,Married,Research & Development,Manufacturing Director,1,4,Technical Degree,9,41211,12,0,5,0,0,0,3,3,Yes,Travel_Frequently,2,3,3,3,1,3,No
91,29,Female,Divorced,Research & Development,Manufacturing Director,1,3,Marketing,1,41365,11,1,9,4,3,1,2,3,No,Travel_Frequently,2,3,3,3,4,3,No
92,25,Female,Single,Sales,Sales Representative,3,3,Other,17,63257,15,0,5,5,4,0,3,5,No,Travel_Rarely,2,4,3,4,3,3,No
93,34,Female,Married,Research & Development,Laboratory Technician,2,5,Human Resources,1,55178,18,1,0,0,0,0,1,1,No,Travel_Rarely,2,4,3,3,4,4,No
94,35,Male,Married,IT,IT Manager,3,4,Life Sciences,1,86412,18,1,14,8,4,3,3,3,Yes,Travel_Rarely,4,3,4,3,3,3,No
95,37,Female,Married,IT,IT Manager,1,3,Human Resources,9,54712,13,0,1,1,0,1,4,3,No,Travel_Rarely,3,3,3,1,3,3,Yes
96,25,Male,Married,Finance,Accountant,1,3,Medical,2,59548,13,0,7,5,3,1,3,1,No,Travel_Rarely,4,1,4,3,3,3,Yes
97,37,Female,Married,IT,Data Analyst,1,3,Other,3,61790,11,0,2,1,0,0,3,5,Yes,Travel_Rarely,3,1,3,3,4,3,Yes
98,26,Female,Married,Sales,Sales Executive,2,2,Human Resources,23,59047,14,1,8,6,4,5,2,6,No,Travel_Rarely,2,3,3,3,4,4,No
99,21,Male,Married,Research & Development,R&D Manager,1,1,Other,1,52531,16,1,3,0,0,0,7,2,No,Travel_Rarely,3,4,4,3,4,3,No
100,43,Female,Single,Sales,Sales Representative,5,3,Life Sciences,4,118121,13,0,17,12,3,5,3,3,No,Travel_Frequently,4,1,3,3,4,3,No
101,28,Female,Single,Sales,Sales Representative,2,4,Life Sciences,24,64858,17,0,6,4,2,1,2,3,No,Travel_Frequently,2,3,4,3,4,3,Yes
102,20,Female,Divorced,Research & Development,Manufacturing Director,2,3,Medical,11,56109,15,0,0,0,0,0,1,3,Yes,Travel_Rarely,2,4,3,3,3,3,No
103,42,Female,Divorced,IT,Software Engineer,3,3,Medical,18,90502,11,0,9,9,4,0,2,4,No,Travel_Rarely,4,3,2,3,2,3,No
104,21,Female,Married,Research & Development,Research Scientist,2,2,Life Sciences,9,71280,17,0,2,1,0,1,7,2,No,Travel_Rarely,3,4,3,4,2,3,No
105,38,Female,Divorced,Finance,Accountant,1,2,Marketing,5,47904,13,1,10,6,4,1,3,3,No,Travel_Rarely,3,1,4,4,2,3,No
106,36,Male,Single,IT,Software Engineer,2,3,Life Sciences,21,72360,12,0,10,3,2,2,7,3,No,Travel_Rarely,1,2,3,2,3,3,No
107,49,Female,Married,IT,Software Engineer,2,3,Technical Degree,1,81038,12,1,6,5,3,2,4,1,No,Travel_Rarely,2,3,2,1,3,4,No
108,41,Female,Divorced,Research & Development,Manufacturing Director,1,2,Medical,7,51303,11,1,8,1,0,0,3,3,No,Travel_Rarely,3,1,3,4,3,3,No
109,38,Male,Single,Research & Development,R&D Manager,5,3,Life Sciences,4,126178,15,2,18,18,8,1,2,1,No,Non-Travel,2,4,3,4,1,3,No
110,40,Female,Married,Research & Development,Laboratory Technician,1,2,Medical,5,47981,16,2,6,1,0,0,4,2,Yes,Travel_Rarely,2,4,3,4,4,4,No
111,31,Male,Single,Research & Development,Manufacturing Director,1,3,Human Resources,5,40993,11,1,2,0,0,0,1,4,No,Travel_Rarely,3,4,2,3,4,3,No
112,20,Male,Divorced,Research & Development,Laboratory Technician,1,4,Other,19,56610,16,2,1,0,0,0,3,4,No,Travel_Rarely,4,1,3,3,2,3,No
113,34,Male,Married,Sales,Sales Representative,1,4,Human Resources,10,38136,11,0,3,3,1,0,1,1,No,Travel_Rarely,4,2,3,2,3,3,No
114,49,Female,Married,Research & Development,Research Scientist,1,3,Medical,1,49746,13,0,4,3,1,3,2,5,Yes,Travel_Rarely,1,3,2,2,4,3,No
115,44,Male,Married,Sales,Sales Executive,1,4,Other,10,42830,14,2,11,4,3,3,2,2,No,Non-Travel,3,4,3,3,4,3,No
116,41,Male,Divorced,Research & Development,Research Scientist,2,3,Human Resources,13,60072,16,0,7,3,2,1,2,0,No,Travel_Rarely,3,3,2,3,4,3,No
117,36,Male,Married,Finance,Finance Manager,1,3,Other,12,49265,12,1,11,4,1,2,4,4,No,Travel_Rarely,4,3,3,2,3,3,No
118,32,Female,Married,Sales,Sales Executive,1,2,Life Sciences,7,39697,11,1,5,0,0,0,5,2,Yes,Travel_Rarely,4,2,4,2,2,3,Yes
119,31,Male,Single,Human Resources,HR Executive,2,4,Marketing,13,59551,14,3,5,5,4,3,5,1,No,Non-Travel,2,4,4,3,2,3,Yes
120,33,Male,Single,Research & Development,Research Scientist,3,3,Other,1,93268,18,1,14,7,5,3,2,2,No,Travel_Rarely,3,3,3,3,3,4,No
121,49,Male,Married,IT,IT Support,1,3,Other,13,59739,19,0,8,6,4,0,3,2,No,Travel_Rarely,4,3,4,3,4,3,No
122,34,Male,Married,Research & Development,Research Scientist,1,4,Technical Degree,5,56277,11,2,7,2,0,1,4,4,Yes,Travel_Rarely,3,3,3,1,3,3,No
123,33,Male,Married,Sales,Sales Manager,2,3,Life Sciences,5,67550,13,0,15,10,3,0,1,2,Yes,Travel_Rarely,4,4,4,3,1,3,No
124,40,Male,Single,IT,Software Engineer,3,4,Technical Degree,3,104895,11,1,11,6,2,0,2,2,No,Travel_Rarely,1,4,2,3,4,3,No
125,20,Female,Single,IT,Data Analyst,2,3,Life Sciences,1,68290,13,1,0,0,0,0,2,3,No,Travel_Rarely,1,1,3,4,1,3,No
126,50,Male,Single,Sales,Sales Manager,3,5,Human Resources,5,83988,14,1,12,7,4,4,4,5,No,Travel_Rarely,4,2,2,2,4,4,No
127,46,Female,Single,IT,IT Manager,1,4,Life Sciences,2,58751,15,2,7,4,2,1,5,2,Yes,Travel_Rarely,3,1,3,2,3,3,No
128,20,Male,Divorced,Human Resources,Recruiter,2,4,Human Resources,9,55214,13,3,2,0,0,0,3,5,Yes,Travel_Frequently,2,4,3,2,3,3,Yes
129,22,Male,Married,Finance,Financial Analyst,1,4,Other,1,57488,17,0,3,2,1,0,2,2,Yes,Travel_Rarely,4,4,3,3,3,3,No
130,25,Female,Divorced,Research & Development,Laboratory Technician,1,4,Technical Degree,3,52664,19,2,6,5,2,1,2,4,Yes,Travel_Rarely,3,4,3,1,3,3,Yes
131,36,Male,Married,Sales,Sales Manager,1,4,Medical,8,49540,11,0,3,1,0,0,1,2,No,Travel_Rarely,4,3,4,3,4,3,No
132,47,Male,Married,IT,Data Analyst,4,3,Other,9,118868,14,1,16,16,6,2,3,3,Yes,Travel_Frequently,3,3,1,1,3,3,No
133,25,Male,Divorced,Finance,Accountant,3,2,Life Sciences,18,77382,23,0,7,5,3,2,0,2,No,Travel_Rarely,3,2,4,4,2,3,No
134,36,Male,Married,Research & Development,R&D Manager,3,4,Life Sciences,1,85276,15,1,12,12,10,0,1,4,Yes,Travel_Rarely,2,4,3,3,2,4,Yes
135,39,Male,Married,Research & Development,Laboratory Technician,1,3,Other,8,44562,21,0,10,5,2,5,4,5,Yes,Travel_Rarely,2,3,3,3,3,3,No
136,31,Male,Single,Research & Development,R&D Manager,2,2,Technical Degree,19,57251,15,0,1,0,0,0,1,2,No,Travel_Rarely,2,4,2,3,1,3,Yes
137,42,Male,Divorced,Finance,Finance Manager,1,3,Medical,2,46866,16,0,1,0,0,0,1,3,No,Travel_Rarely,3,2,4,4,3,3,No
138,34,Female,Single,Finance,Finance Manager,1,5,Marketing,40,45966,17,1,3,1,0,1,4,2,Yes,Travel_Rarely,1,4,3,4,4,3,Yes
139,32,Female,Divorced,Research & Development,Laboratory Technician,1,3,Other,1,56705,13,1,4,2,0,2,2,3,Yes,Non-Travel,4,2,2,3,3,3,Yes
140,39,Male,Single,Sales,Sales Executive,1,4,Human Resources,1,39812,16,0,5,1,0,1,4,2,No,Travel_Rarely,3,4,4,3,3,3,No
141,50,Male,Married,Sales,Sales Representative,1,2,Other,3,48564,11,3,7,2,0,0,0,0,No,Non-Travel,4,1,3,1,4,3,No
142,44,Female,Single,Research & Development,R&D Manager,1,3,Medical,4,41195,21,0,10,3,2,2,5,2,Yes,Travel_Rarely,3,2,2,3,3,3,Yes
143,31,Female,Married,Sales,Sales Manager,1,3,Medical,6,45877,18,1,7,3,1,3,3,1,No,Travel_Frequently,2,3,3,1,2,3,No
144,26,Male,Single,Sales,Sales Executive,2,2,Life Sciences,26,58123,21,1,4,0,0,0,6,2,Yes,Travel_Rarely,1,1,3,4,3,3,Yes
145,33,Male,Married,Sales,Sales Manager,3,1,Technical Degree,3,63049,16,1,13,6,4,0,2,0,No,Travel_Rarely,4,4,3,3,4,3,No
146,47,Male,Married,IT,IT Support,2,5,Marketing,2,88770,15,1,2,0,0,0,2,2,No,Travel_Rarely,3,3,4,3,4,4,No
147,37,Male,Divorced,Sales,Sales Manager,3,3,Marketing,10,76111,11,0,10,5,2,0,1,1,No,Travel_Rarely,4,2,2,2,3,4,No
148,39,Male,Single,Sales,Sales Representative,2,3,Technical Degree,2,65929,14,2,7,5,4,3,7,3,No,Travel_Rarely,1,4,4,3,2,3,No
149,37,Female,Married,Research & Development,Research Scientist,1,1,Marketing,1,46759,11,2,2,0,0,0,4,1,No,Travel_Rarely,3,1,4,3,4,3,No
150,32,Male,Married,Research & Development,Laboratory Technician,1,1,Technical Degree,1,50493,17,0,0,0,0,0,2,1,No,Travel_Rarely,3,4,3,3,4,3,No
151,23,Male,Married,Finance,Finance Manager,1,4,Technical Degree,12,59491,15,2,2,1,0,0,1,2,No,Travel_Rarely,2,4,1,3,3,3,No
152,39,Male,Married,Sales,Sales Manager,2,1,Technical Degree,1,56977,11,1,9,5,4,1,5,3,No,Travel_Frequently,1,4,3,3,4,3,No
153,39,Female,Single,Research & Development,Research Scientist,1,4,Marketing,8,44198,16,0,2,0,0,0,1,3,No,Travel_Rarely,3,1,3,3,3,3,No
154,31,Female,Married,IT,IT Manager,1,4,Other,6,48235,13,0,10,5,1,5,2,5,No,Travel_Rarely,2,1,2,2,3,3,Yes
155,46,Male,Married,Research & Development,Manufacturing Director,2,3,Technical Degree,1,63996,12,0,7,0,0,0,3,1,No,Travel_Frequently,2,1,2,3,3,3,No
156,48,Female,Single,Finance,Financial Analyst,1,2,Technical Degree,10,45671,17,1,4,2,1,2,1,3,No,Non-Travel,4,4,3,3,3,3,No
157,30,Female,Married,Research & Development,Laboratory Technician,2,3,Other,22,62224,11,0,8,2,0,2,2,4,No,Travel_Rarely,2,1,3,3,1,3,No
158,52,Male,Single,Research & Development,Laboratory Technician,2,1,Other,19,59035,11,2,2,1,0,0,7,0,No,Travel_Rarely,3,1,3,3,3,3,Yes
159,25,Male,Married,Sales,Sales Manager,1,1,Life Sciences,1,39864,11,2,3,0,0,0,7,2,No,Non-Travel,3,4,1,3,4,3,No
160,20,Female,Single,Sales,Sales Representative,1,3,Other,4,40159,11,0,2,0,0,0,3,3,No,Travel_Rarely,4,4,3,3,2,4,No
161,36,Female,Divorced,Sales,Sales Manager,3,4,Life Sciences,3,61328,14,2,10,7,2,2,3,5,No,Travel_Rarely,4,4,2,1,3,3,No
162,55,Male,Single,Research & Development,Manufacturing Director,2,3,Marketing,1,72131,15,2,5,0,0,0,1,2,No,Travel_Rarely,4,4,3,2,4,4,No
163,40,Female,Married,Research & Development,Laboratory Technician,2,3,Marketing,7,57470,18,0,6,3,2,3,4,4,Yes,Travel_Rarely,4,4,3,4,4,3,No
164,39,Male,Married,Sales,Sales Executive,1,3,Medical,1,36628,15,2,3,3,0,0,2,5,No,Travel_Frequently,3,3,3,3,3,4,Yes
165,44,Female,Married,IT,IT Support,2,5,Marketing,1,86891,11,1,1,1,0,0,3,1,No,Travel_Rarely,4,4,2,1,4,3,No
166,33,Female,Single,Sales,Sales Representative,3,3,Medical,4,80011,13,2,7,7,5,3,3,4,No,Travel_Rarely,4,1,3,3,2,3,No
167,41,Male,Divorced,Research & Development,Laboratory Technician,2,1,Life Sciences,24,56473,13,1,5,0,0,0,6,2,No,Travel_Frequently,2,3,3,3,4,4,No
168,40,Male,Single,Sales,Sales Representative,1,5,Marketing,10,47995,13,1,1,0,0,0,3,4,No,Travel_Frequently,3,1,3,3,3,4,No
169,27,Male,Single,Research & Development,Research Scientist,2,3,Human Resources,1,71743,16,1,9,7,3,0,5,2,No,Travel_Rarely,4,4,2,3,4,3,No
170,34,Male,Married,Human Resources,Recruiter,4,3,Medical,7,72689,13,0,10,9,5,0,2,4,Yes,Travel_Rarely,2,4,3,3,4,3,No
171,46,Female,Married,Sales,Sales Manager,1,2,Life Sciences,1,35788,15,2,4,0,0,0,2,3,Yes,Travel_Rarely,3,1,3,2,4,4,Yes
172,37,Male,Single,IT,Software Engineer,2,3,Marketing,1,65376,14,1,8,2,1,0,7,2,No,Travel_Rarely,3,4,2,3,2,3,No
173,30,Male,Married,Sales,Sales Representative,3,3,Human Resources,4,63509,14,0,10,5,3,2,6,4,No,Travel_Rarely,3,3,1,2,3,3,Yes
